Pasture,Exclosure,Transect,Grazed,Ecologial Site,1989 Burn,1994 Burn,2017 Burn,2018 Burn,Species,YR2011,YR2014,YR2017,YR2020
UA Cell D,23,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,231,109,84,236
6D,22,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,193,214,217,233
2N,4,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,225,238,379,232
2S,35A,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,192,131,176,230
UA Cell D,23,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,144,136,149,224
2S,35A,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,158,170,204,218
6A,8,G1,Yes,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,184,144,190,193
UA Cell B,42,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,GUSA,5,24,116,192
6D,22,U2,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,90,130,117,189
3,19,U1,No,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,PRVE,131,127,101,184
3,19,U2,No,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,PRVE,103,55,89,182
6A,8,U2,No,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,174,161,189,177
2N,2B,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,101,106,128,176
12C,41,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,PRVE,187,187,203,175
6A,40,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,172,79,184,174
4,9,U1,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,65,16,91,172
2N,2B,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,156,116,120,168
4,9,G1,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,147,130,149,167
5 Mid,12,U1,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,OPEN,188,86,160,156
2N,5,U1,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,OPEN,114,115,174,155
2S,35A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,129,135,162,149
2N,5,G2,Yes,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,PRVE,132,113,49,143
4,9,U2,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,142,122,122,130
6D,22,G1,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,94,118,114,127
6A,8,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,134,135,135,125
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PRVE,136,116,116,123
6A,8,U1,No,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,148,112,127,118
12C,41,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,PRVE,126,87,105,118
6D,22,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,CEFL,114,123,120,113
4,11,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MIDY,69,43,93,110
4,9,G2,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,152,92,86,108
4,11,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERCU,52,53,64,96
6A,40,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,72,87,83,94
2S,35A,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,APTE,30,23,80,93
2N,2B,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,0,21,60,93
5 Mid,12,U2,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,OPEN,77,45,86,92
6D,22,U1,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,25,42,67,90
4,11,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MIDY,122,54,61,89
3,19,G2,Yes,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,PRVE,107,47,103,88
5 Mid,12,G1,Yes,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,PRVE,73,67,100,88
12C,41,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,PRVE,138,144,80,85
4,9,U2,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,CAER,121,59,46,84
3,19,U1,No,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,ACGR,71,43,66,82
4,11,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,45,84,112,77
4,11,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CAER,79,39,109,75
6A,8,U2,No,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,ACGR,74,63,75,75
2S,35A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,APTE,0,11,42,75
4,9,G2,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,CAER,75,46,56,73
2N,5,U1,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,PRVE,33,32,54,72
2N,4,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,34,35,69,71
5 Mid,12,G2,Yes,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,OPEN,81,55,122,68
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ZIOB,24,13,51,67
4,11,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERCU,24,34,97,66
6D,7,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPEN,47,27,45,65
4,11,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CAER,47,45,98,60
2N,4,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,EPTR,22,36,62,60
2N,6,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,OPEN,47,21,39,60
2S,1A,G3,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,CEPA,1,18,20,60
1,31,G2,Yes,"SLD 16-20"" Pz, Lanque Soil",No,No,Yes,No,ERLE,34,21,46,58
12C,41,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,CAER,125,88,97,56
4,9,U1,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,MIDY,5,14,29,55
6D,22,G1,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,ACGR,61,39,33,54
8,15,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERLE,14,20,33,53
2N,4,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,5,8,66,52
2S,1A,G6,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,CEPA,8,12,33,52
6A,40,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,DICA,3,13,13,52
1,31,G1,Yes,"SLD 16-20"" Pz, Lanque Soil",No,No,Yes,No,ERLE,26,8,32,51
4,11,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERCU,13,22,26,51
5 Mid,12,U1,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,PRVE,42,49,60,49
6D,22,U2,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,OPFU,0,16,19,48
6A,8,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,ACGR,42,47,48,47
6D,7,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,0,0,8,46
2S,1A,G3,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,7,1,69,45
4,9,U1,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,CAER,84,65,57,45
6A,8,U1,No,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,ACGR,36,38,42,45
2N,4,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,ALWR,15,10,49,44
4,11,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CAER,14,14,32,44
4,9,G1,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,MIDY,17,17,17,44
4,11,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERLE,17,19,39,43
12C,41,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,PRVE,120,95,53,42
12C,41,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,CAER,66,70,46,42
4,11,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,50,44,35,42
UA Cell D,23,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,ERLE,13,9,14,41
UA Cell D,23,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,ERLE,11,4,8,41
2N,5,U2,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,JAGR,6,17,32,39
6D,7,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPEN,73,16,32,38
2N,5,G1,Yes,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,APTE,15,6,24,38
12C,41,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,ERLE,3,9,23,38
6D,22,U2,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,OPEN,98,8,41,37
3,19,G2,Yes,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,OPEN,9,8,20,36
12C,41,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,GUSA,0,0,21,35
2N,4,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,9,10,30,34
4,9,U2,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,ACGR,26,11,25,33
